,Promedio1,DesviacionEstandar1,Media1,Minimo1,Maximo1,Promedio2,DesviacionEstandar2,Media2,Minimo2,Maximo2,Promedio3,DesviacionEstandar3,Media3,Minimo3,Maximo3,Promedio4,DesviacionEstandar4,Media4,Minimo4,Maximo4,Promedio5,DesviacionEstandar5,Media5,Minimo5,Maximo5,Promedio6,DesviacionEstandar6,Media6,Minimo6,Maximo6,Promedio7,DesviacionEstandar7,Media7,Minimo7,Maximo7,Promedio8,DesviacionEstandar8,Media8,Minimo8,Maximo8,Promedio9,DesviacionEstandar9,Media9,Minimo9,Maximo9,Promedio10,DesviacionEstandar10,Media10,Minimo10,Maximo10,Promedio11,DesviacionEstandar11,Media11,Minimo11,Maximo11,Promedio12,DesviacionEstandar12,Media12,Minimo12,Maximo12,Emocion
0,0.0,58.38,12.06,-157.29,95.76,0.0,78.45,3.38,-156.64,165.93,0.0,100.74,-22.82,-176.63,354.7,0.0,107.45,-8.21,-241.31,257.84,0.0,129.61,3.93,-366.17,230.47,0.0,144.67,-34.52,-255.78,347.22,0.0,152.32,-15.64,-323.81,399.42,0.0,153.08,8.98,-359.05,335.36,0.0,140.66,-8.48,-422.58,397.49,0.0,145.29,-0.48,-383.21,420.76,0.0,133.68,20.87,-360.74,260.29,0.0,183.25,-32.45,-320.02,475.22,01
1,0.0,65.47,17.71,-186.19,88.95,0.0,93.56,22.82,-258.94,161.1,0.0,131.91,-6.65,-290.51,388.78,0.0,99.94,4.24,-276.33,259.14,0.0,121.12,6.86,-358.96,311.03,0.0,139.8,6.3,-291.5,286.29,0.0,154.3,-0.05,-408.57,385.97,0.0,155.03,21.2,-391.08,345.08,0.0,151.41,6.45,-335.85,435.19,0.0,117.58,8.02,-249.92,342.32,0.0,120.45,2.42,-336.43,296.61,0.0,149.89,-24.57,-348.71,481.89,02
2,0.0,63.8,18.19,-204.58,72.93,0.0,77.44,18.51,-215.0,153.3,0.0,113.02,-4.27,-236.76,452.22,0.0,108.27,6.4,-288.02,292.15,0.0,143.27,12.77,-335.75,274.38,0.0,143.81,-3.3,-323.83,386.96,0.0,173.43,9.91,-315.66,469.72,0.0,136.79,-21.28,-294.41,423.05,0.0,138.03,-10.44,-310.2,409.79,0.0,167.8,-12.01,-316.66,447.71,0.0,131.9,2.67,-397.56,246.6,0.0,173.25,-4.95,-491.5,492.95,03
3,0.0,50.61,11.09,-121.0,89.22,0.0,67.24,9.69,-167.48,154.74,0.0,93.69,2.96,-242.34,265.53,0.0,67.35,12.38,-199.27,161.84,0.0,144.2,-8.3,-346.59,325.13,0.0,151.04,-5.79,-454.25,370.55,0.0,132.86,-0.47,-373.96,398.11,0.0,164.76,21.43,-374.93,317.63,0.0,142.08,6.57,-281.4,379.14,0.0,107.07,3.87,-304.33,245.43,0.0,125.91,-1.13,-277.5,295.66,0.0,169.52,-13.72,-493.67,433.36,04
4,0.0,65.65,21.23,-153.02,93.25,0.0,94.22,-12.82,-205.97,206.47,0.0,135.82,-19.61,-234.83,318.66,0.0,121.04,-13.34,-261.15,247.6,0.0,137.27,-17.29,-267.58,320.24,0.0,188.81,-14.85,-396.31,459.75,0.0,157.15,23.73,-548.64,296.57,0.0,189.72,10.07,-506.93,411.32,0.0,164.01,-7.13,-421.24,599.12,0.0,126.8,9.17,-383.06,303.18,0.0,139.42,0.89,-421.41,392.58,0.0,126.24,12.44,-331.57,285.53,05
5,0.0,72.23,28.11,-193.0,96.06,0.0,81.73,-2.15,-188.45,175.68,0.0,104.4,5.89,-200.25,271.03,0.0,95.87,6.07,-223.42,201.69,0.0,140.32,-1.82,-260.74,258.83,0.0,135.34,-3.77,-299.47,342.53,0.0,135.98,3.92,-297.29,267.49,0.0,145.81,-9.84,-432.05,340.83,0.0,132.71,-17.23,-339.95,414.77,0.0,160.19,-2.59,-367.6,308.8,0.0,118.87,-12.17,-240.2,395.61,0.0,148.38,2.81,-342.49,434.91,06
6,0.0,61.2,15.13,-173.85,89.8,0.0,113.56,40.05,-283.68,168.43,0.0,95.8,2.75,-200.46,267.28,0.0,127.42,-12.31,-280.67,386.88,0.0,154.1,9.11,-444.88,393.33,0.0,127.46,11.27,-294.05,245.48,0.0,145.71,1.0,-328.67,377.96,0.0,174.33,21.94,-483.2,332.17,0.0,131.71,0.61,-379.21,322.71,0.0,114.58,-1.95,-235.56,324.14,0.0,135.79,-9.34,-415.91,257.56,0.0,152.31,4.21,-303.72,384.0,07
7,0.0,54.78,10.94,-191.18,81.63,0.0,75.3,-4.13,-183.29,140.27,0.0,103.94,-12.12,-240.38,365.56,0.0,124.02,-2.2,-287.56,265.79,0.0,139.42,14.62,-355.07,273.02,0.0,127.08,4.33,-336.23,251.39,0.0,138.45,-6.04,-446.86,341.31,0.0,142.97,1.52,-318.53,363.61,0.0,125.8,-9.21,-342.13,349.17,0.0,150.99,-17.97,-408.07,305.21,0.0,111.37,-5.28,-287.32,334.17,0.0,133.74,1.05,-296.57,335.84,08
8,0.0,54.65,19.84,-193.69,68.02,0.0,87.9,-6.55,-209.59,207.72,0.0,138.77,25.32,-271.85,290.11,0.0,110.66,-12.67,-242.05,262.43,0.0,98.53,11.85,-311.44,226.24,0.0,139.18,11.38,-419.27,276.36,0.0,140.84,-15.85,-317.8,363.75,0.0,142.69,13.92,-337.02,407.97,0.0,131.3,7.84,-297.8,308.06,0.0,169.19,-5.06,-401.71,469.11,0.0,165.88,6.72,-398.26,356.76,0.0,125.61,1.59,-286.73,249.54,01
9,0.0,64.6,29.24,-206.71,76.3,0.0,98.35,-7.66,-183.77,260.92,0.0,155.62,5.4,-379.98,317.83,0.0,98.56,14.59,-344.19,215.31,0.0,108.67,5.73,-320.7,236.15,0.0,142.92,-2.82,-483.78,273.25,0.0,192.6,-9.95,-426.34,504.11,0.0,128.63,3.13,-482.29,323.86,0.0,154.42,15.63,-439.85,398.5,0.0,157.31,-17.86,-428.07,509.79,0.0,174.32,14.02,-368.02,399.27,0.0,130.12,1.81,-286.37,331.95,02
